"GSE","Line","Agent","Context","nT","nC","est","lo","hi","p"
"GSE134742","MV411","DAC",NA,2,2,-0.0359685028667432,-0.283308844023427,0.211371838289941,0.581708390137017
"GSE134742","MV411","GSK3510477",NA,2,2,-0.116560498617122,-0.575670400848858,0.342549403614613,0.211932181110279
"GSE134742","THP1","GSK3484862",NA,2,2,0.067489127423042,-0.771972550835372,0.906950805681456,0.581664646218286
"GSE134742","MV411","GSK3484862",NA,2,2,-0.00718323089581525,-0.378433269385479,0.364066807593848,0.895999938086147
"GSE134742","NOMO1","GSK3484862",NA,2,2,-0.190810316064823,-0.241326016881226,-0.14029461524842,0.00449329516032914
"GSE155640","THP1 wild-type cells","NTR LSD1","target-negative",6,9,0.22269885290648,-0.692661129034885,1.13805883484784,0.601435755651092
"GSE155640","NfsB-positive THP1 cells","NTR LSD1","target-positive",6,9,-0.227662664462099,-1.76880884072195,1.31348351179775,0.732068944421844
"GSE123207","HL60","AZA",NA,2,2,0.07112810735347,-0.501963563360958,0.644219778067898,0.414135364342243
"GSE123207","KG1a","AZA",NA,2,2,0.0592765062482138,-0.0222342244457818,0.140787236942209,0.0772946146662147
"GSE123207","AML-193","AZA",NA,2,2,-0.255394705094697,-0.337489734277996,-0.173299675911399,0.0056640406684817
"GSE123207","HNT-34","AZA",NA,2,2,-0.276127526098458,-0.460925301954711,-0.0913297502422052,0.0324495846264004
"GSE155640","THP1 wild-type cells","LSD1 OG86","target-negative",6,9,0.501086816333266,-0.58369593494874,1.58586956761527,0.322636158003743
"GSE155640","NfsB-positive THP1 cells","LSD1 OG86","target-positive",6,9,-0.474002248767983,-1.6435190275357,0.69551452999973,0.371433994573236
"GSE144638","HL-60","Pinometostat","MLL wild type",2,2,0.205801628515065,-1.04339324372007,1.4549965007502,0.301187023116562
"GSE144638","U-937","Pinometostat","MLL wild type",2,2,-0.020166447956662,-1.65747884901412,1.61714595310079,0.961980811141016
"GSE144638","MOLM-13","Pinometostat","MLL rearranged",2,2,-0.440466851050916,-1.1755015763857,0.294567874283869,0.122276920470706
"GSE144638","OCI-AML3","Pinometostat","MLL wild type",2,2,-0.460708330257025,-0.81250632361938,-0.108910336894669,0.0305382195394638
"GSE144638","MV4-11","Pinometostat","MLL rearranged",2,2,-0.485960641715749,-0.775270776118947,-0.196650507312551,0.0264322025981088
"GSE144638","THP-1","Pinometostat","MLL rearranged",2,2,-2.28767277131595,-4.13454902522893,-0.440796517402984,0.037856452497064
"GSE144638","NOMO-1","Pinometostat","MLL rearranged",2,2,-3.53965989677146,-6.01083808018557,-1.06848171335735,0.0271843961013806
