"GSM","SampleTitle","Score","GSE","Platform","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence","Log2Applied","ScoreZ"
"GSM3498361","AZA001",4.8320851041239,"GSE123207","GPL570","vehicle","AML-193",NA,TRUE,"control","control",FALSE,-0.526998282436287
"GSM3498362","AZA002",4.8016187690518,"GSE123207","GPL570","vehicle","AML-193",NA,TRUE,"control","control",FALSE,-0.552201119381518
"GSM3498363","AZA003",4.4911433412535,"GSE123207","GPL570","0.5uM AZA","AML-193",NA,FALSE,"AZA","high",FALSE,-0.809037445896782
"GSM3498364","AZA004",4.5250950713501,"GSE123207","GPL570","0.5uM AZA","AML-193",NA,FALSE,"AZA","high",FALSE,-0.780951366110418
"GSM3498365","AZA005",7.237920442679,"GSE123207","GPL570","vehicle","HNT-34",NA,TRUE,"control","control",FALSE,1.46319435514829
"GSM3498366","AZA006",7.279015620487,"GSE123207","GPL570","vehicle","HNT-34",NA,TRUE,"control","control",FALSE,1.49718974918171
"GSM3498367","AZA007",6.928818257038,"GSE123207","GPL570","0.5uM AZA","HNT-34",NA,FALSE,"AZA","high",FALSE,1.2074940234317
"GSM3498368","AZA008",6.920526792384,"GSE123207","GPL570","0.5uM AZA","HNT-34",NA,FALSE,"AZA","high",FALSE,1.20063502870138
"GSM3498369","AZA009",5.989397974108,"GSE123207","GPL570","vehicle","KG1a",NA,TRUE,"control","control",FALSE,0.430372122891425
"GSM3498370","AZA010",5.962212888278,"GSE123207","GPL570","vehicle","KG1a",NA,TRUE,"control","control",FALSE,0.407883652128724
"GSM3498371","AZA011",6.053766399505,"GSE123207","GPL570","0.5uM AZA","KG1a",NA,FALSE,"AZA","high",FALSE,0.483619975836739
"GSM3498372","AZA012",6.04115673405,"GSE123207","GPL570","0.5uM AZA","KG1a",NA,FALSE,"AZA","high",FALSE,0.473188811679836
"GSM3498373","AZA013",4.0519814038358,"GSE123207","GPL570","vehicle","HL60",NA,TRUE,"control","control",FALSE,-1.17232783429094
"GSM3498374","AZA014",4.0838137000646,"GSE123207","GPL570","vehicle","HL60",NA,TRUE,"control","control",FALSE,-1.14599502564993
"GSM3498375","AZA015",4.2209883068938,"GSE123207","GPL570","0.5uM AZA","HL60",NA,FALSE,"AZA","high",FALSE,-1.03251930759061
"GSM3498376","AZA016",4.0867725766039,"GSE123207","GPL570","0.5uM AZA","HL60",NA,FALSE,"AZA","high",FALSE,-1.14354733764333
"GSM3664953","pedAML 1 blast (K16/2183)",3.9832205913274,"GSE128103","GPL18641",NA,"blast",NA,FALSE,NA,"none",FALSE,-1.19569094877073
"GSM3664954","pedAML 2 blast (K16/2224)",5.90976100339,"GSE128103","GPL18641",NA,"blast",NA,FALSE,NA,"none",FALSE,0.871419389049968
"GSM3664955","pedAML 3 blast (K16/2216)",4.754996667376,"GSE128103","GPL18641",NA,"blast",NA,FALSE,NA,"none",FALSE,-0.367602269553906
"GSM3664956","CB 1 HSC (K16/2886)",6.238886328541,"GSE128103","GPL18641",NA,"HSC",NA,FALSE,NA,"none",FALSE,1.22455932725134
"GSM3664957","CB 2 blast (K16/2899)",6.207741511287,"GSE128103","GPL18641",NA,"blast",NA,FALSE,NA,"none",FALSE,1.19114202994879
"GSM3664958","pedAML 2 lymphocytes (K16/2935)",4.4559645593379,"GSE128103","GPL18641",NA,"lymphocytes",NA,FALSE,NA,"none",FALSE,-0.688453240546042
"GSM3664959","pedAML 3 lymphocytes (K16/2923)",4.1476288779864,"GSE128103","GPL18641",NA,"lymphocytes",NA,FALSE,NA,"none",FALSE,-1.01928661961765
"GSM3664960","pedAML 1 LSC (K16/2933)",4.262747916611,"GSE128103","GPL18641",NA,"LSC",NA,FALSE,NA,"none",FALSE,-0.895767926040843
"GSM3664961","pedAML 4 LSC (K16/2930)",4.792048629573,"GSE128103","GPL18641",NA,"LSC",NA,FALSE,NA,"none",FALSE,-0.327846812770126
