"GSM","SampleTitle","Score","GSE","Platform","GenesFound","GenesExpected","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence","Log2Applied"
"GSM3427357","SAMPLE 1_CON1",4.7231982765,"GSE121175","GPL570",6,6,"vehicle for 24h","Kasumi-1",NA,TRUE,"control","control",FALSE
"GSM3427358","SAMPLE 2_CON2",4.76572140668,"GSE121175","GPL570",6,6,"vehicle for 24h","Kasumi-1",NA,TRUE,"control","control",FALSE
"GSM3427359","SAMPLE 3_CON3",4.6839713128,"GSE121175","GPL570",6,6,"vehicle for 24h","Kasumi-1",NA,TRUE,"control","control",FALSE
"GSM3427360","SAMPLE 4_H1",4.8689836539,"GSE121175","GPL570",6,6,"20 nM HHT for 24h","Kasumi-1",NA,FALSE,"HHT","high",FALSE
"GSM3427361","SAMPLE 5_H2",4.7958596758,"GSE121175","GPL570",6,6,"20 nM HHT for 24h","Kasumi-1",NA,FALSE,"HHT","high",FALSE
"GSM3427362","SAMPLE 6_H3",4.5157700077,"GSE121175","GPL570",6,6,"20 nM HHT for 24h","Kasumi-1",NA,FALSE,"HHT","high",FALSE
"GSM3430924","THP1_2H_DMSO_rep1",2.9272059671916,"GSE121291","GPL16043",5,6,"DMSO","AML cell line  THP-1",NA,TRUE,"control","control",FALSE
"GSM3430925","THP1_2H_DMSO_rep2",2.84276102074,"GSE121291","GPL16043",5,6,"DMSO","AML cell line  THP-1",NA,TRUE,"control","control",FALSE
"GSM3430926","THP1_2H_DMSO_rep3",2.8562327901122,"GSE121291","GPL16043",5,6,"DMSO","AML cell line  THP-1",NA,TRUE,"control","control",FALSE
"GSM3430927","THP1_2H_1365_rep1",2.9927701042214,"GSE121291","GPL16043",5,6,"SY-1365","AML cell line  THP-1",NA,FALSE,"SY-1365","high",FALSE
"GSM3430928","THP1_2H_1365_rep2",2.7475547833624,"GSE121291","GPL16043",5,6,"SY-1365","AML cell line  THP-1",NA,FALSE,"SY-1365","high",FALSE
"GSM3430929","THP1_2H_1365_rep3",2.6559962492576,"GSE121291","GPL16043",5,6,"SY-1365","AML cell line  THP-1",NA,FALSE,"SY-1365","high",FALSE
"GSM3430930","THP1_2H_JQ1_rep1",2.8298265283465,"GSE121291","GPL16043",5,6,"JQ1","AML cell line  THP-1",NA,FALSE,"JQ1","high",FALSE
"GSM3430931","THP1_2H_JQ1_rep2",2.7428686229218,"GSE121291","GPL16043",5,6,"JQ1","AML cell line  THP-1",NA,FALSE,"JQ1","high",FALSE
"GSM3430932","THP1_2H_JQ1_rep3",2.7908111781966,"GSE121291","GPL16043",5,6,"JQ1","AML cell line  THP-1",NA,FALSE,"JQ1","high",FALSE
"GSM3430933","THP1_2H_NVP2_rep1",3.044254246384,"GSE121291","GPL16043",5,6,"NVP2","AML cell line  THP-1",NA,FALSE,"NVP2","high",FALSE
"GSM3430934","THP1_2H_NVP2_rep2",2.7557786423542,"GSE121291","GPL16043",5,6,"NVP2","AML cell line  THP-1",NA,FALSE,"NVP2","high",FALSE
"GSM3430935","THP1_2H_NVP2_rep3",3.0903526471045,"GSE121291","GPL16043",5,6,"NVP2","AML cell line  THP-1",NA,FALSE,"NVP2","high",FALSE
"GSM3430936","THP1_2H_FLAVO_rep1",2.6200630578165,"GSE121291","GPL16043",5,6,"FLAVO","AML cell line  THP-1",NA,FALSE,"FLAVO","high",FALSE
"GSM3430937","THP1_2H_FLAVO_rep2",2.6863644150356,"GSE121291","GPL16043",5,6,"FLAVO","AML cell line  THP-1",NA,FALSE,"FLAVO","high",FALSE
"GSM3430938","THP1_2H_FLAVO_rep3",2.6589538324749,"GSE121291","GPL16043",5,6,"FLAVO","AML cell line  THP-1",NA,FALSE,"FLAVO","high",FALSE
"GSM3430939","THP1_6H_DMSO_rep1",2.743644488948,"GSE121291","GPL16043",5,6,"DMSO","AML cell line  THP-1",NA,TRUE,"control","control",FALSE
"GSM3430940","THP1_6H_DMSO_rep2",2.7886890895871,"GSE121291","GPL16043",5,6,"DMSO","AML cell line  THP-1",NA,TRUE,"control","control",FALSE
"GSM3430941","THP1_6H_DMSO_rep3",2.7669992240119,"GSE121291","GPL16043",5,6,"DMSO","AML cell line  THP-1",NA,TRUE,"control","control",FALSE
"GSM3430942","THP1_6H_1365_rep1",2.6344141456562,"GSE121291","GPL16043",5,6,"SY-1365","AML cell line  THP-1",NA,FALSE,"SY-1365","high",FALSE
"GSM3430943","THP1_6H_1365_rep2",2.6252792611919,"GSE121291","GPL16043",5,6,"SY-1365","AML cell line  THP-1",NA,FALSE,"SY-1365","high",FALSE
