"GSE","Line","Agent","est","null_p","src","q"
"GSE122428","GSE122428","BAY1436032",-0.410690154869223,0.000499750124937531,"array",0.0141040590815703
"GSE122428","GSE122428","BAY1436032 +azacitidine",-0.292686385377216,0.00749625187406297,"array",0.0732326144619998
"GSE83485","sorted human CD45+ cells from bone marrow of PDX mouse","BAY1436032",-0.240179762095269,0.000499750124937531,"array",0.0141040590815703
"GSE122428","GSE122428","azacitidine",-0.108106630394196,0.0629685157421289,"array",0.261566186603668
"GSE125437","EOL-1","BAY-1251152",-0.0877339399209159,0.000499750124937531,"counts",0.0141040590815703
"GSE54873","cd34+ normal progenitors","SAHA",-0.0806834388727251,0.00449775112443778,"array",0.0601278308214314
"GSE125437","EOL-1","OTX015",-0.0769153948653669,0.000499750124937531,"counts",0.0141040590815703
"GSE182680","human T cell leukemia cells","USP7i",-0.0609840603726853,0.000999500249875062,"counts",0.0211560886223555
"GSE125437","MV4-11","BAY-1251152",-0.0580244639425746,0.000999500249875062,"counts",0.0211560886223555
"GSE125437","RS411","BAY-1251152",-0.0548618600137139,0.0104947526236882,"counts",0.0888555722138931
"GSE125437","MV4-11","OTX015",-0.0516285220379687,0.0064967516241879,"counts",0.0732326144619998
"GSE125437","SEM","BAY-1251152",-0.0509934447888612,0.00249875062468766,"counts",0.0453344756193332
"GSE125437","MOLM-13","BAY-1251152",-0.0495986038887101,0.000499750124937531,"counts",0.0141040590815703
"GSE125437","Jurkat","BAY-1251152",-0.048949952289807,0.00249875062468766,"counts",0.0453344756193332
"GSE125437","MV4-11","BAY-155",-0.0481067193266746,0.000999500249875062,"counts",0.0211560886223555
"GSE182680","human T cell leukemia cells","Dex and USP7i",-0.0476370868174948,0.00399800099950025,"counts",0.0601278308214314
"GSE226461","patient-derived xenograft (PDX) AML cells","gilteritinib",-0.0440686787267209,0.0499750124937531,"array",0.239502890064402
"GSE241649","CD34+ primary AML cells","FLT3i + IL3",-0.0439080223701521,0.0419790104947526,"counts",0.217605482972799
"GSE241427","KG-1","I-BRD9",-0.0426723918898319,0.00749625187406297,"counts",0.0732326144619998
"GSE34672","TEX","all-trans-retinoic acid and tranylcypromine",-0.0419645863361745,0.024487756121939,"array",0.141040590815703
"GSE34726","TEX","all-trans-retinoic acid and tranylcypromine",-0.0419645863361745,0.0204897551224388,"array",0.133446097464088
"GSE34672","HL-60","tranycypromine",-0.0412254618227765,0.0064967516241879,"array",0.0732326144619998
"GSE34726","HL-60","tranycypromine",-0.0412254618227765,0.00699650174912544,"array",0.0732326144619998
"GSE241649","CD34+ primary AML cells","IL3",-0.0412172662906313,0.0514742628685657,"counts",0.242119680900291
"GSE125437","HL-60","BAY-1251152",-0.040449209817572,0.00449775112443778,"counts",0.0601278308214314
"GSE134742","GSE134742","GSK3510477",-0.0397410252307036,0.0079960019990005,"array",0.0752216484350417
"GSE125437","HL-60","OTX015",-0.0386389044158748,0.0164917541229385,"counts",0.11968301563504
"GSE125437","Jurkat","OTX015",-0.0365624758861204,0.0204897551224388,"counts",0.133446097464088
"GSE46819","GSE46819","BV6",-0.0360999982219377,0.0649675162418791,"array",0.261566186603668
"GSE125437","MV4-11","Brequinar",-0.0357135967462966,0.0154922538730635,"counts",0.115736249522298
"GSE125437","Jurkat","Brequinar",-0.0325753341125058,0.055472263868066,"counts",0.247192193376996
"GSE244855","MOLM13-RES","Metformin",-0.0310327986404006,0.0429785107446277,"counts",0.218330834582709
"GSE225356","MOLM-13","MI-503 + PR-957",-0.0305213491350998,0.0699650174912544,"counts",0.265240514071323
"GSE34672","TEX","tranycypromine",-0.0304511733306095,0.0624687656171914,"array",0.261566186603668
