"GSE","Line","Agent","nT","nC","est","p","q"
"GSE230646","Kasumi-1","scramble shRNA control",3,2,-2.47497752048679,0.00730442086728829,0.0241493098061368
"GSE125437","NOMO-1","BAY-155",3,6,-2.21146764445927,0.000191696335427309,0.0016344634915381
"GSE225356","MOLM-13","MI-503 + PR-957",3,3,-2.2060767864314,0.0125991156033923,0.0371101223227192
"GSE244855","MOLM13-RES","Gilteritinib",2,3,-2.02868686373958,0.168230055060861,0.25261769560707
"GSE230646","Kasumi-1","RBPMS knockdown",3,2,-1.89737813114006,0.0479547388857615,0.112280619543565
"GSE125437","Jurkat","OTX015",3,5,-1.86207277096992,0.00956024969944336,0.0303678519864671
"GSE225356","MOLM-13","MI-503",4,3,-1.83168023203957,6.31706190719485e-05,0.000682242685977044
"GSE271106","U937","Luteoloside",3,3,-1.76220476557709,0.003203530681494,0.0140262694703251
"GSE232007","MOLM13","CC-92840",3,3,-1.72455909015418,0.0941214399272689,0.177259645443487
"GSE232007","MOLM13","CC-220",3,3,-1.70545498603664,0.0973044363803272,0.177259645443487
"GSE217540","697","MZ1",2,2,-1.63844010969992,0.107926392066207,0.192132697964017
"GSE267885","KG1a","venetoclax",2,2,-1.62347351970331,0.337477131240259,0.420548425084015
"GSE230646","Kasumi-1","RB98#",2,2,-1.61299982985781,0.148597790640829,0.23600825572367
"GSE225315","MOLM-13","PR-957",4,4,-1.55695310726886,0.0115077310370094,0.0358510082306832
"GSE190087","MEC 1 ACC497 (DMSZ)","H3B-8800",6,6,-1.52127100721329,0.00240162063604466,0.0111160726582639
"GSE125437","MV4-11","BAY-155",3,6,-1.47772243605078,7.57826573227615e-09,4.09226349542912e-07
"GSE131325","NB4","ATRA",15,15,-1.43456346374546,3.79711610468904e-05,0.000473179083815095
"GSE179333","REH","S3I-201",3,3,-1.4260196498758,0.0906050653784123,0.172682595191797
"GSE125437","KOPN-8","BAY-1251152",2,9,-1.41431774341416,5.7301820114152e-07,1.32612783692752e-05
"GSE125437","Jurkat","BAY-1251152",2,5,-1.36124537830716,0.0270858956770075,0.0675063861488496
"GSE230646","Kasumi-1","endogenous m6A",2,2,-1.35479991238163,0.375001415928942,0.452872676143057
"GSE230589","T-ALL","ACBI-1",4,3,-1.33175022949823,0.0850022884414515,0.167475519171435
"GSE228528","Jurkat","NKG2D CAR T cells",3,2,-1.27507185781025,0.153773998482953,0.241858133536294
"GSE125437","MOLM-14","BAY-155",3,9,-1.19509520678279,8.55860600372228e-06,0.000126044924782092
"GSE125437","MV4-11","EPZ-5676",3,6,-1.11907520333127,0.00453714456914826,0.0168065513246599
"GSE125437","SEM","BAY-1251152",3,9,-1.11790424431204,1.96732473031497e-07,6.37413212622051e-06
"GSE267885","KG1a","TAK-981 + venetoclax",2,2,-1.0565994931705,0.110171082421663,0.193996906003364
"GSE125437","OCI-AML2","BAY-155",3,9,-1.00773493805681,1.19009941363595e-11,1.92796105009024e-09
"GSE125437","Jurkat","Brequinar",2,5,-0.986629019641027,0.0687163508662874,0.144043071316779
"GSE125437","MOLM-14","EPZ-5676",2,9,-0.909497110550675,0.000101107060878236,0.000963490815427896
"GSE241649","CD34+ primary AML cells","IL3",2,4,-0.844723204336657,0.329644999550467,0.414096140955025
"GSE241649","CD34+ primary AML cells","FLT3i + IL3",2,4,-0.844430060943418,0.329743223353075,0.414096140955025
"GSE230588","T-ALL","ACBI-1",4,4,-0.811275101652222,0.288277602000211,0.379682695317351
"GSE125437","HL-60","BAY-1251152",3,6,-0.79173831394028,0.000337182167827894,0.0023209765423552
"GSE125437","OCI-AML3","Brequinar",3,6,-0.763565176465242,4.13300919405148e-06,7.43941654929266e-05
"GSE125437","MOLM-13","Brequinar",3,6,-0.681347581141523,0.00420327376924243,0.0166080573321286
"GSE240439","HL-60","Simvastatin",3,3,-0.656816354945076,0.403577260299864,0.477222745756044
"GSE245284","RS4;11","VEN",5,5,-0.630795369128895,0.367734712723277,0.452872676143057
"GSE125437","NOMO-1","EPZ-5676",3,6,-0.604807387328286,6.10371026090178e-06,9.88801062266088e-05
"GSE239859","HL-60","10 μg/ml Staphylococcus aureus lipoteichoic acids",4,6,-0.596159351503888,0.28145249879117,0.373732006591553
"GSE220170","AML1","AR42-05",4,4,-0.590235287302779,0.0121209625233176,0.0369856145375324
"GSE241649","MOLM14","RASi + IL3",2,2,-0.56522309332753,0.225810045289245,0.323727675547414
"GSE125437","NOMO-1","Brequinar",3,6,-0.562724009380075,0.00494336227323041,0.0177961041836295
"GSE125437","EOL-1","BAY-1251152",3,6,-0.501212586906746,0.00184466256427972,0.00933860423166611
"GSE125437","OCI-AML2","EPZ-5676",3,9,-0.49217412541276,0.000728489511849857,0.00406949313516127
"GSE125437","Jurkat","BAY-155",3,5,-0.464674478648085,0.310272756109813,0.405356342659594
"GSE125437","ML2","Brequinar",3,6,-0.430413144349092,0.00456474233509281,0.0168065513246599
"GSE125437","MV4-11","Brequinar",3,6,-0.427422465469275,0.000139653606259172,0.00125688245633255
"GSE125437","ML2","OTX015",3,6,-0.41447530242437,0.000551629826524004,0.00330977895914402
"GSE125437","ML2","BAY-1251152",3,6,-0.402640308735656,0.000522270686552682,0.00325414812390517
"GSE241649","MOLM14","FLT3i + IL3",2,2,-0.402396235719214,0.244525109374463,0.335703963717483
"GSE125437","OCI-AML2","BAY-1251152",3,9,-0.400884412474747,0.0593066181023555,0.131237608086553
"GSE125437","MOLM-13","BAY-155",3,6,-0.38324642297528,0.0182178987795879,0.0490702352718992
"GSE241649","MOLM14","RASi",2,2,-0.376926133846615,0.242136717001469,0.335703963717483
"GSE125437","NOMO-1","BAY-1251152",3,6,-0.369299804160424,0.00145591146509581,0.00760831152727487
"GSE125437","MOLM-13","EPZ-5676",3,6,-0.36348292807923,0.00609993141792084,0.0210252955255995
"GSE125437","OCI-AML3","OTX015",3,6,-0.362170152210715,0.000343848376645216,0.0023209765423552
"GSE125437","RS411","BAY-1251152",3,9,-0.352772991304124,0.000324806492855493,0.0023209765423552
"GSE125437","RS411","EPZ-5676",2,9,-0.351480513684934,0.0590324579862565,0.131237608086553
"GSE125437","EOL-1","Brequinar",3,6,-0.337408586445481,0.00434262975329492,0.0167501433341376
"GSE125437","HL-60","BAY-155",3,6,-0.335340159456715,0.019494328602594,0.0509367940906488
"GSE241649","MOLM14","FLT3i",2,2,-0.296154840743903,0.215476353896609,0.31167115474331
"GSE217572","THP-1","AZA",3,9,-0.293935345273326,0.0477891344062038,0.112280619543565
