"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM3382062",0.754468480713289,"GSE119744","NCBI-counts",6,6,"MEC1_DMSO_RNAseq_rep1","cell type: CLL cell line | treatment: DMSO",22338907,"DMSO","CLL cell line",NA,TRUE,"control","control"
"GSM3382063",0.837411021258769,"GSE119744","NCBI-counts",6,6,"MEC1_DMSO_RNAseq_rep2","cell type: CLL cell line | treatment: DMSO",20543865,"DMSO","CLL cell line",NA,TRUE,"control","control"
"GSM3382064",0.774298611720627,"GSE119744","NCBI-counts",6,6,"MEC1_DMSO_RNAseq_rep3","cell type: CLL cell line | treatment: DMSO",21589138,"DMSO","CLL cell line",NA,TRUE,"control","control"
"GSM3382065",0.995217135215077,"GSE119744","NCBI-counts",6,6,"MEC1_JQ1_RNAseq_rep1","cell type: CLL cell line | treatment: JQ1",22371538,"JQ1","CLL cell line",NA,FALSE,"JQ1","high"
"GSM3382066",0.971224669652603,"GSE119744","NCBI-counts",6,6,"MEC1_JQ1_RNAseq_rep2","cell type: CLL cell line | treatment: JQ1",23369702,"JQ1","CLL cell line",NA,FALSE,"JQ1","high"
"GSM3382067",0.896406826649178,"GSE119744","NCBI-counts",6,6,"MEC1_JQ1_RNAseq_rep3","cell type: CLL cell line | treatment: JQ1",23205489,"JQ1","CLL cell line",NA,FALSE,"JQ1","high"
"GSM3382068",0.41786258761931,"GSE119744","NCBI-counts",6,6,"MEC2_DMSO_RNAseq_rep1","cell type: CLL cell line | treatment: DMSO",19009005,"DMSO","CLL cell line",NA,TRUE,"control","control"
"GSM3382069",0.396249590540246,"GSE119744","NCBI-counts",6,6,"MEC2_DMSO_RNAseq_rep2","cell type: CLL cell line | treatment: DMSO",21078034,"DMSO","CLL cell line",NA,TRUE,"control","control"
"GSM3382070",0.320224194642292,"GSE119744","NCBI-counts",6,6,"MEC2_DMSO_RNAseq_rep3","cell type: CLL cell line | treatment: DMSO",22189481,"DMSO","CLL cell line",NA,TRUE,"control","control"
"GSM3382071",0.56521083805991,"GSE119744","NCBI-counts",6,6,"MEC2_JQ1_RNAseq_rep1","cell type: CLL cell line | treatment: JQ1",21429322,"JQ1","CLL cell line",NA,FALSE,"JQ1","high"
"GSM3382072",0.553151294216962,"GSE119744","NCBI-counts",6,6,"MEC2_JQ1_RNAseq_rep2","cell type: CLL cell line | treatment: JQ1",17622759,"JQ1","CLL cell line",NA,FALSE,"JQ1","high"
"GSM3382073",0.487369300506561,"GSE119744","NCBI-counts",6,6,"MEC2_JQ1_RNAseq_rep3","cell type: CLL cell line | treatment: JQ1",18730672,"JQ1","CLL cell line",NA,FALSE,"JQ1","high"
"GSM3382074",0.879164948888019,"GSE119744","NCBI-counts",6,6,"OSUCLL_DMSO_RNAseq_rep1","cell type: CLL cell line | treatment: DMSO",16412585,"DMSO","CLL cell line",NA,TRUE,"control","control"
"GSM3382075",0.862136921551344,"GSE119744","NCBI-counts",6,6,"OSUCLL_DMSO_RNAseq_rep2","cell type: CLL cell line | treatment: DMSO",16944321,"DMSO","CLL cell line",NA,TRUE,"control","control"
"GSM3382076",0.83608895338243,"GSE119744","NCBI-counts",6,6,"OSUCLL_DMSO_RNAseq_rep3","cell type: CLL cell line | treatment: DMSO",22676596,"DMSO","CLL cell line",NA,TRUE,"control","control"
"GSM3382077",0.867166720297095,"GSE119744","NCBI-counts",6,6,"OSUCLL_JQ1_RNAseq_rep1","cell type: CLL cell line | treatment: JQ1",16462517,"JQ1","CLL cell line",NA,FALSE,"JQ1","high"
"GSM3382078",0.94670039750237,"GSE119744","NCBI-counts",6,6,"OSUCLL_JQ1_RNAseq_rep2","cell type: CLL cell line | treatment: JQ1",18884964,"JQ1","CLL cell line",NA,FALSE,"JQ1","high"
"GSM3382079",0.855906036186759,"GSE119744","NCBI-counts",6,6,"OSUCLL_JQ1_RNAseq_rep3","cell type: CLL cell line | treatment: JQ1",21354344,"JQ1","CLL cell line",NA,FALSE,"JQ1","high"
"GSM3382080",1.25020349072253,"GSE119744","NCBI-counts",6,6,"CII_DMSO_RNAseq_rep1","cell type: CLL cell line | treatment: DMSO",19241977,"DMSO","CLL cell line",NA,TRUE,"control","control"
"GSM3382081",1.30373794823066,"GSE119744","NCBI-counts",6,6,"CII_DMSO_RNAseq_rep2","cell type: CLL cell line | treatment: DMSO",20043871,"DMSO","CLL cell line",NA,TRUE,"control","control"
"GSM3382082",1.19914695370237,"GSE119744","NCBI-counts",6,6,"CII_DMSO_RNAseq_rep3","cell type: CLL cell line | treatment: DMSO",20743301,"DMSO","CLL cell line",NA,TRUE,"control","control"
"GSM3382083",1.09935663086747,"GSE119744","NCBI-counts",6,6,"CII_JQ1_RNAseq_rep1","cell type: CLL cell line | treatment: JQ1",17447322,"JQ1","CLL cell line",NA,FALSE,"JQ1","high"
"GSM3382084",1.07897122846928,"GSE119744","NCBI-counts",6,6,"CII_JQ1_RNAseq_rep2","cell type: CLL cell line | treatment: JQ1",18997370,"JQ1","CLL cell line",NA,FALSE,"JQ1","high"
"GSM3382085",1.12542532849166,"GSE119744","NCBI-counts",6,6,"CII_JQ1_RNAseq_rep3","cell type: CLL cell line | treatment: JQ1",19961838,"JQ1","CLL cell line",NA,FALSE,"JQ1","high"
