"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM4452181",2.6934473052931,"GSE148010","NCBI-counts",6,6,"F4_KO_T0_pre-treatment_BATCH1 (RNA-seq)","cell line: TF1 erythroleukemia cell line | clone id: F4 | tet2 genotype: TET2 -/- | treatment: pre-treatment | time after first treatment: pre-treatment | sequencing qc pass/fail: PASS | experimental batch: BATCH1",31377957,"pre-treatment","TF1 erythroleukemia cell line",NA,FALSE,"pre-","high"
"GSM4452182",2.78694500108983,"GSE148010","NCBI-counts",6,6,"A12_KO_T0_pre-treatment_BATCH1 (RNA-seq)","cell line: TF1 erythroleukemia cell line | clone id: A12 | tet2 genotype: TET2 -/- | treatment: pre-treatment | time after first treatment: pre-treatment | sequencing qc pass/fail: PASS | experimental batch: BATCH1",28806629,"pre-treatment","TF1 erythroleukemia cell line",NA,FALSE,"pre-","high"
"GSM4452183",2.68978732477745,"GSE148010","NCBI-counts",6,6,"A7_WT_T0_pre-treatment_BATCH1 (RNA-seq)","cell line: TF1 erythroleukemia cell line | clone id: A7 | tet2 genotype: TET2 +/+ | treatment: pre-treatment | time after first treatment: pre-treatment | sequencing qc pass/fail: PASS | experimental batch: BATCH1",30737104,"pre-treatment","TF1 erythroleukemia cell line",NA,FALSE,"pre-","high"
"GSM4452184",2.75633842125939,"GSE148010","NCBI-counts",6,6,"C4_WT_T0_pre-treatment_BATCH1 (RNA-seq)","cell line: TF1 erythroleukemia cell line | clone id: C4 | tet2 genotype: TET2 +/+ | treatment: pre-treatment | time after first treatment: pre-treatment | sequencing qc pass/fail: PASS | experimental batch: BATCH1",32251430,"pre-treatment","TF1 erythroleukemia cell line",NA,FALSE,"pre-","high"
"GSM4452185",2.80809548256558,"GSE148010","NCBI-counts",6,6,"F4_KO_T72_Aza_BATCH1 (RNA-seq)","cell line: TF1 erythroleukemia cell line | clone id: F4 | tet2 genotype: TET2 -/- | treatment: 200 nM 5-Aza daily x 3 days | time after first treatment: 72 | sequencing qc pass/fail: PASS | experimental batch: BATCH1",28375737,"200 nM 5-Aza daily x 3 days","TF1 erythroleukemia cell line",NA,FALSE,"5-Aza daily x","high"
"GSM4452186",2.85584229419478,"GSE148010","NCBI-counts",6,6,"A12_KO_T72_Aza_BATCH1 (RNA-seq)","cell line: TF1 erythroleukemia cell line | clone id: A12 | tet2 genotype: TET2 -/- | treatment: 200 nM 5-Aza daily x 3 days | time after first treatment: 72 | sequencing qc pass/fail: PASS | experimental batch: BATCH1",30653506,"200 nM 5-Aza daily x 3 days","TF1 erythroleukemia cell line",NA,FALSE,"5-Aza daily x","high"
"GSM4452187",2.79473232023862,"GSE148010","NCBI-counts",6,6,"A7_WT_T72_Aza_BATCH1 (RNA-seq)","cell line: TF1 erythroleukemia cell line | clone id: A7 | tet2 genotype: TET2 +/+ | treatment: 200 nM 5-Aza daily x 3 days | time after first treatment: 72 | sequencing qc pass/fail: PASS | experimental batch: BATCH1",29921144,"200 nM 5-Aza daily x 3 days","TF1 erythroleukemia cell line",NA,FALSE,"5-Aza daily x","high"
"GSM4452188",2.79577469644985,"GSE148010","NCBI-counts",6,6,"C4_WT_T72_Aza_BATCH1 (RNA-seq)","cell line: TF1 erythroleukemia cell line | clone id: C4 | tet2 genotype: TET2 +/+ | treatment: 200 nM 5-Aza daily x 3 days | time after first treatment: 72 | sequencing qc pass/fail: PASS | experimental batch: BATCH1",27666610,"200 nM 5-Aza daily x 3 days","TF1 erythroleukemia cell line",NA,FALSE,"5-Aza daily x","high"
"GSM4452189",2.46350398116658,"GSE148010","NCBI-counts",6,6,"F4_KO_T72_DMSO_BATCH1 (RNA-seq)","cell line: TF1 erythroleukemia cell line | clone id: F4 | tet2 genotype: TET2 -/- | treatment: vehicle (DMSO) treated daily x 3 days | time after first treatment: 72 | sequencing qc pass/fail: FAIL | experimental batch: BATCH1",34120660,"vehicle (DMSO) treated daily x 3 days","TF1 erythroleukemia cell line",NA,TRUE,"control","control"
"GSM4452190",2.76395252122739,"GSE148010","NCBI-counts",6,6,"A12_KO_T72_DMSO_BATCH1 (RNA-seq)","cell line: TF1 erythroleukemia cell line | clone id: A12 | tet2 genotype: TET2 -/- | treatment: vehicle (DMSO) treated daily x 3 days | time after first treatment: 72 | sequencing qc pass/fail: PASS | experimental batch: BATCH1",31892389,"vehicle (DMSO) treated daily x 3 days","TF1 erythroleukemia cell line",NA,TRUE,"control","control"
"GSM4452191",2.74468901865268,"GSE148010","NCBI-counts",6,6,"A7_WT_T72_DMSO_BATCH1 (RNA-seq)","cell line: TF1 erythroleukemia cell line | clone id: A7 | tet2 genotype: TET2 +/+ | treatment: vehicle (DMSO) treated daily x 3 days | time after first treatment: 72 | sequencing qc pass/fail: PASS | experimental batch: BATCH1",29411018,"vehicle (DMSO) treated daily x 3 days","TF1 erythroleukemia cell line",NA,TRUE,"control","control"
