"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM5712991",0.673251341904164,"GSE190087","NCBI-counts",6,6,"MEC1 SF3B1 WT rep 1","cell line: MEC 1 ACC497 (DMSZ) | genotype: SF3B1 WT | treatment: Control (DMSO)",112790183,"Control (DMSO)","MEC 1 ACC497 (DMSZ)","SF3B1 WT",TRUE,"control","control"
"GSM5712992",0.663442199555291,"GSE190087","NCBI-counts",6,6,"MEC1 SF3B1 WT rep 2","cell line: MEC 1 ACC497 (DMSZ) | genotype: SF3B1 WT | treatment: Control (DMSO)",103962033,"Control (DMSO)","MEC 1 ACC497 (DMSZ)","SF3B1 WT",TRUE,"control","control"
"GSM5712993",0.594002561818189,"GSE190087","NCBI-counts",6,6,"MEC1 SF3B1 WT rep 3","cell line: MEC 1 ACC497 (DMSZ) | genotype: SF3B1 WT c.2106G>A | treatment: Control (DMSO)",113478934,"Control (DMSO)","MEC 1 ACC497 (DMSZ)","SF3B1 WT c.2106G>A",TRUE,"control","control"
"GSM5712994",0.777149961011919,"GSE190087","NCBI-counts",6,6,"MEC1 SF3B1 K700E rep1","cell line: MEC 1 ACC497 (DMSZ) | genotype: SF3B1 MUT c.2098A>G and c.2106G>A | treatment: Control (DMSO)",117296442,"Control (DMSO)","MEC 1 ACC497 (DMSZ)","SF3B1 MUT c.2098A>G and c.2106G>A",TRUE,"control","control"
"GSM5712995",0.842224327538697,"GSE190087","NCBI-counts",6,6,"MEC1 SF3B1 K700E rep2","cell line: MEC 1 ACC497 (DMSZ) | genotype: SF3B1 MUT c.2098A>G and c.2106G>A | treatment: Control (DMSO)",108307891,"Control (DMSO)","MEC 1 ACC497 (DMSZ)","SF3B1 MUT c.2098A>G and c.2106G>A",TRUE,"control","control"
"GSM5712996",0.680652226161718,"GSE190087","NCBI-counts",6,6,"MEC1 SF3B1 K700E rep3","cell line: MEC 1 ACC497 (DMSZ) | genotype: SF3B1 MUT c.2098A>G and c.2106G>A | treatment: Control (DMSO)",110989448,"Control (DMSO)","MEC 1 ACC497 (DMSZ)","SF3B1 MUT c.2098A>G and c.2106G>A",TRUE,"control","control"
"GSM5712997",0.370266975933966,"GSE190087","NCBI-counts",6,6,"MEC1 SF3B1 WT rep 1 H3B-8800","cell line: MEC 1 ACC497 (DMSZ) | genotype: SF3B1 WT | treatment: H3B-8800 75nM 6h",105177780,"H3B-8800 75nM 6h","MEC 1 ACC497 (DMSZ)","SF3B1 WT",FALSE,"H3B-8800","high"
"GSM5712998",0.388026020736358,"GSE190087","NCBI-counts",6,6,"MEC1 SF3B1 WT rep 2 H3B-8800","cell line: MEC 1 ACC497 (DMSZ) | genotype: SF3B1 WT | treatment: H3B-8800 75nM 6h",109199854,"H3B-8800 75nM 6h","MEC 1 ACC497 (DMSZ)","SF3B1 WT",FALSE,"H3B-8800","high"
"GSM5712999",0.29084922869508,"GSE190087","NCBI-counts",6,6,"MEC1 SF3B1 WT rep 3 H3B-8800","cell line: MEC 1 ACC497 (DMSZ) | genotype: SF3B1 WT c.2106G>A | treatment: H3B-8800 75nM 6h",105473766,"H3B-8800 75nM 6h","MEC 1 ACC497 (DMSZ)","SF3B1 WT c.2106G>A",FALSE,"H3B-8800","high"
"GSM5713000",0.555223276466021,"GSE190087","NCBI-counts",6,6,"MEC1 SF3B1 K700E rep 1 H3B-8800","cell line: MEC 1 ACC497 (DMSZ) | genotype: SF3B1 MUT c.2098A>G and c.2106G>A | treatment: H3B-8800 75nM 6h",106477545,"H3B-8800 75nM 6h","MEC 1 ACC497 (DMSZ)","SF3B1 MUT c.2098A>G and c.2106G>A",FALSE,"H3B-8800","high"
"GSM5713001",0.59451186749702,"GSE190087","NCBI-counts",6,6,"MEC1 SF3B1 K700E rep 2 H3B-8800","cell line: MEC 1 ACC497 (DMSZ) | genotype: SF3B1 MUT c.2098A>G and c.2106G>A | treatment: H3B-8800 75nM 6h",105675306,"H3B-8800 75nM 6h","MEC 1 ACC497 (DMSZ)","SF3B1 MUT c.2098A>G and c.2106G>A",FALSE,"H3B-8800","high"
"GSM5713002",0.517491674832529,"GSE190087","NCBI-counts",6,6,"MEC1 SF3B1 K700E rep 3 H3B-8800","cell line: MEC 1 ACC497 (DMSZ) | genotype: SF3B1 MUT c.2098A>G and c.2106G>A | treatment: H3B-8800 75nM 6h",109202692,"H3B-8800 75nM 6h","MEC 1 ACC497 (DMSZ)","SF3B1 MUT c.2098A>G and c.2106G>A",FALSE,"H3B-8800","high"
