"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM6721893",1.8099392454518,"GSE217572","NCBI-counts",6,6,"1_MOLM13_AZA","tissue: cell line | cell line: MOLM-13 | cell type: acute myeloid leukemia | treatment: AZA",38055154,"AZA","MOLM-13",NA,FALSE,"AZA","high"
"GSM6721894",1.89048416887574,"GSE217572","NCBI-counts",6,6,"1_MOLM13_CT","tissue: cell line | cell line: MOLM-13 | cell type: acute myeloid leukemia | treatment: Untreated",46519227,"Untreated","MOLM-13",NA,TRUE,"control","control"
"GSM6721895",1.04648482814278,"GSE217572","NCBI-counts",6,6,"1_OCIAML3_AZA","tissue: cell line | cell line: OCI-AML-3 | cell type: acute myeloid leukemia | treatment: AZA",48404005,"AZA","OCI-AML-3",NA,FALSE,"AZA","high"
"GSM6721896",1.0907187661041,"GSE217572","NCBI-counts",6,6,"1_OCIAML3_CT","tissue: cell line | cell line: OCI-AML-3 | cell type: acute myeloid leukemia | treatment: Untreated",37359612,"Untreated","OCI-AML-3",NA,TRUE,"control","control"
"GSM6721897",1.34074779569777,"GSE217572","NCBI-counts",6,6,"1_SKM1_AZA","tissue: cell line | cell line: SKM-1 | cell type: acute myeloid leukemia | treatment: AZA",47061805,"AZA","SKM-1",NA,FALSE,"AZA","high"
"GSM6721898",1.19138060579462,"GSE217572","NCBI-counts",6,6,"1_SKM1_CT","tissue: cell line | cell line: SKM-1 | cell type: acute myeloid leukemia | treatment: Untreated",48891447,"Untreated","SKM-1",NA,TRUE,"control","control"
"GSM6721899",1.7001152970701,"GSE217572","NCBI-counts",6,6,"1_THP1_AZA","tissue: cell line | cell line: THP-1 | cell type: acute myeloid leukemia | treatment: AZA",46886645,"AZA","THP-1",NA,FALSE,"AZA","high"
"GSM6721900",1.6401870196176,"GSE217572","NCBI-counts",6,6,"1_THP1_CT","tissue: cell line | cell line: THP-1 | cell type: acute myeloid leukemia | treatment: Untreated",47147342,"Untreated","THP-1",NA,TRUE,"control","control"
"GSM6721901",1.81986613831974,"GSE217572","NCBI-counts",6,6,"2_MOLM13_AZA","tissue: cell line | cell line: MOLM-13 | cell type: acute myeloid leukemia | treatment: AZA",47589515,"AZA","MOLM-13",NA,FALSE,"AZA","high"
"GSM6721902",1.93700237356926,"GSE217572","NCBI-counts",6,6,"2_MOLM13_CT","tissue: cell line | cell line: MOLM-13 | cell type: acute myeloid leukemia | treatment: Untreated",48118006,"Untreated","MOLM-13",NA,TRUE,"control","control"
"GSM6721903",1.00119715772503,"GSE217572","NCBI-counts",6,6,"2_OCIAML3_AZA","tissue: cell line | cell line: OCI-AML-3 | cell type: acute myeloid leukemia | treatment: AZA",47449507,"AZA","OCI-AML-3",NA,FALSE,"AZA","high"
