"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM6778341",1.45049343782158,"GSE219230","NCBI-counts",6,6,"HL60_CM124_12H_R1","tissue: Acute Myeloid Leukemia | cell line: HL-60 | cell type: myeloblast | treatment: Panobinostat",1528013,"Panobinostat","HL-60",NA,FALSE,"Panobinostat","high"
"GSM6778342",1.24037352129101,"GSE219230","NCBI-counts",6,6,"HL60_CM124_12H_R2","tissue: Acute Myeloid Leukemia | cell line: HL-60 | cell type: myeloblast | treatment: Panobinostat",16065016,"Panobinostat","HL-60",NA,FALSE,"Panobinostat","high"
"GSM6778343",1.21451093115674,"GSE219230","NCBI-counts",6,6,"HL60_CM124_12H_R3","tissue: Acute Myeloid Leukemia | cell line: HL-60 | cell type: myeloblast | treatment: Panobinostat",11487279,"Panobinostat","HL-60",NA,FALSE,"Panobinostat","high"
"GSM6778344",1.61691394867457,"GSE219230","NCBI-counts",6,6,"HL60_CM1758_12H_R1","tissue: Acute Myeloid Leukemia | cell line: HL-60 | cell type: myeloblast | treatment: CM-1758",12738949,"CM-1758","HL-60",NA,FALSE,"CM-1758","high"
"GSM6778345",1.70172968611264,"GSE219230","NCBI-counts",6,6,"HL60_CM1758_12H_R2","tissue: Acute Myeloid Leukemia | cell line: HL-60 | cell type: myeloblast | treatment: CM-1758",9007904,"CM-1758","HL-60",NA,FALSE,"CM-1758","high"
"GSM6778346",1.65407428647124,"GSE219230","NCBI-counts",6,6,"HL60_CM1758_12H_R3","tissue: Acute Myeloid Leukemia | cell line: HL-60 | cell type: myeloblast | treatment: CM-1758",10939711,"CM-1758","HL-60",NA,FALSE,"CM-1758","high"
"GSM6778347",1.44098191900557,"GSE219230","NCBI-counts",6,6,"HL60_CM24_12H_R1","tissue: Acute Myeloid Leukemia | cell line: HL-60 | cell type: myeloblast | treatment: Vorinostat",14786430,"Vorinostat","HL-60",NA,FALSE,"Vorinostat","high"
"GSM6778348",1.31762972277732,"GSE219230","NCBI-counts",6,6,"HL60_CM24_12H_R2","tissue: Acute Myeloid Leukemia | cell line: HL-60 | cell type: myeloblast | treatment: Vorinostat",10577459,"Vorinostat","HL-60",NA,FALSE,"Vorinostat","high"
"GSM6778349",1.35107182336207,"GSE219230","NCBI-counts",6,6,"HL60_CM24_12H_R3","tissue: Acute Myeloid Leukemia | cell line: HL-60 | cell type: myeloblast | treatment: Vorinostat",14119397,"Vorinostat","HL-60",NA,FALSE,"Vorinostat","high"
"GSM6778350",1.50953821009969,"GSE219230","NCBI-counts",6,6,"HL60_CM444_12H_R1","tissue: Acute Myeloid Leukemia | cell line: HL-60 | cell type: myeloblast | treatment: CM-444",8313885,"CM-444","HL-60",NA,FALSE,"CM-444","high"
"GSM6778352",1.28416787587099,"GSE219230","NCBI-counts",6,6,"HL60_CM444_12H_R3","tissue: Acute Myeloid Leukemia | cell line: HL-60 | cell type: myeloblast | treatment: CM-444",9536752,"CM-444","HL-60",NA,FALSE,"CM-444","high"
"GSM6778353",1.17090328240907,"GSE219230","NCBI-counts",6,6,"HL60_CONTROL_R1","tissue: Acute Myeloid Leukemia | cell line: HL-60 | cell type: myeloblast | treatment: Untreated",10831696,"Untreated","HL-60",NA,TRUE,"control","control"
"GSM6778354",1.09017602187909,"GSE219230","NCBI-counts",6,6,"HL60_CONTROL_R2","tissue: Acute Myeloid Leukemia | cell line: HL-60 | cell type: myeloblast | treatment: Untreated",12734622,"Untreated","HL-60",NA,TRUE,"control","control"
"GSM6778355",1.11699591579469,"GSE219230","NCBI-counts",6,6,"HL60_CONTROL_R3","tissue: Acute Myeloid Leukemia | cell line: HL-60 | cell type: myeloblast | treatment: Untreated",11313690,"Untreated","HL-60",NA,TRUE,"control","control"
"GSM6778356",1.16119709530477,"GSE219230","NCBI-counts",6,6,"ML2_CM24_12H_R2","tissue: Acute Myeloid Leukemia | cell line: ML-2 | cell type: myeloblast | treatment: Vorinostat",14177642,"Vorinostat","ML-2",NA,FALSE,"Vorinostat","high"
"GSM6778357",1.45233637082352,"GSE219230","NCBI-counts",6,6,"ML2_CM24_12H_R1","tissue: Acute Myeloid Leukemia | cell line: ML-2 | cell type: myeloblast | treatment: Vorinostat",6206809,"Vorinostat","ML-2",NA,FALSE,"Vorinostat","high"
"GSM6778358",1.20278939744562,"GSE219230","NCBI-counts",6,6,"ML2_CM24_12H_R3","tissue: Acute Myeloid Leukemia | cell line: ML-2 | cell type: myeloblast | treatment: Vorinostat",7727180,"Vorinostat","ML-2",NA,FALSE,"Vorinostat","high"
"GSM6778359",0.877421581190818,"GSE219230","NCBI-counts",6,6,"ML2_CM124_12H_R1","tissue: Acute Myeloid Leukemia | cell line: ML-2 | cell type: myeloblast | treatment: Panobinostat",8722703,"Panobinostat","ML-2",NA,FALSE,"Panobinostat","high"
"GSM6778360",1.32798304148587,"GSE219230","NCBI-counts",6,6,"ML2_CM124_12H_R2","tissue: Acute Myeloid Leukemia | cell line: ML-2 | cell type: myeloblast | treatment: Panobinostat",13578907,"Panobinostat","ML-2",NA,FALSE,"Panobinostat","high"
"GSM6778362",1.59028594568832,"GSE219230","NCBI-counts",6,6,"ML2_CM1758_12H_R1","tissue: Acute Myeloid Leukemia | cell line: ML-2 | cell type: myeloblast | treatment: CM-1758",9110774,"CM-1758","ML-2",NA,FALSE,"CM-1758","high"
"GSM6778363",1.65669665782097,"GSE219230","NCBI-counts",6,6,"ML2_CM1758_12H_R2","tissue: Acute Myeloid Leukemia | cell line: ML-2 | cell type: myeloblast | treatment: CM-1758",9064551,"CM-1758","ML-2",NA,FALSE,"CM-1758","high"
"GSM6778364",1.63337230759454,"GSE219230","NCBI-counts",6,6,"ML2_CM1758_12H_R3","tissue: Acute Myeloid Leukemia | cell line: ML-2 | cell type: myeloblast | treatment: CM-1758",11547436,"CM-1758","ML-2",NA,FALSE,"CM-1758","high"
"GSM6778365",0.643561464635317,"GSE219230","NCBI-counts",6,6,"ML2_CM444_12H_R1","tissue: Acute Myeloid Leukemia | cell line: ML-2 | cell type: myeloblast | treatment: CM-444",11514552,"CM-444","ML-2",NA,FALSE,"CM-444","high"
"GSM6778366",1.36611872231202,"GSE219230","NCBI-counts",6,6,"ML2_CM444_12H_R2","tissue: Acute Myeloid Leukemia | cell line: ML-2 | cell type: myeloblast | treatment: CM-444",13184620,"CM-444","ML-2",NA,FALSE,"CM-444","high"
"GSM6778368",1.26598893981403,"GSE219230","NCBI-counts",6,6,"ML2_CONTROL_R1","tissue: Acute Myeloid Leukemia | cell line: ML-2 | cell type: myeloblast | treatment: Untreated",6091208,"Untreated","ML-2",NA,TRUE,"control","control"
"GSM6778370",0.814100118993143,"GSE219230","NCBI-counts",6,6,"ML2_CONTROL_R3","tissue: Acute Myeloid Leukemia | cell line: ML-2 | cell type: myeloblast | treatment: Untreated",10591509,"Untreated","ML-2",NA,TRUE,"control","control"
