"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM6793059",3.19261516267166,"GSE220170","NCBI-counts",6,6,"N36_AML1_ENTI_2_16h_C","tissue: Bone marrow | cell line: AML1 | cell type: Bone marrow derived cell line | genotype: EVI1High | treatment: ENTI-2 | time point: 16h | replicate: C | concentration: 2microM",22328620,"ENTI-2","AML1","EVI1High",FALSE,"ENTI-2","high"
"GSM6793062",2.8154784461252,"GSE220170","NCBI-counts",6,6,"N33_AML1_AR42_05_16h_C","tissue: Bone marrow | cell line: AML1 | cell type: Bone marrow derived cell line | genotype: EVI1High | treatment: AR42-05 | time point: 16h | replicate: C | concentration: 0.5microM",23105233,"AR42-05","AML1","EVI1High",FALSE,"AR42-05","high"
"GSM6793063",2.79482223416578,"GSE220170","NCBI-counts",6,6,"N32_AML1_AR42_05_16h_B","tissue: Bone marrow | cell line: AML1 | cell type: Bone marrow derived cell line | genotype: EVI1High | treatment: AR42-05 | time point: 16h | replicate: B | concentration: 0.5microM",23266984,"AR42-05","AML1","EVI1High",FALSE,"AR42-05","high"
"GSM6793064",2.83138593198162,"GSE220170","NCBI-counts",6,6,"N31_AML1_AR42_05_16h_A","tissue: Bone marrow | cell line: AML1 | cell type: Bone marrow derived cell line | genotype: EVI1High | treatment: AR42-05 | time point: 16h | replicate: A | concentration: 0.5microM",24507008,"AR42-05","AML1","EVI1High",FALSE,"AR42-05","high"
"GSM6793065",3.04850410660334,"GSE220170","NCBI-counts",6,6,"N30_AML1_DMSO_16h_C","tissue: Bone marrow | cell line: AML1 | cell type: Bone marrow derived cell line | genotype: EVI1High | treatment: DMSO | time point: 16h | replicate: C | concentration: 1 microM",28561664,"DMSO","AML1","EVI1High",TRUE,"control","control"
"GSM6793066",3.2761970247539,"GSE220170","NCBI-counts",6,6,"N29_AML1_DMSO_16h_B","tissue: Bone marrow | cell line: AML1 | cell type: Bone marrow derived cell line | genotype: EVI1High | treatment: DMSO | time point: 16h | replicate: B | concentration: 1 microM",27477551,"DMSO","AML1","EVI1High",TRUE,"control","control"
"GSM6793067",3.25516996892258,"GSE220170","NCBI-counts",6,6,"N28_AML1_DMSO_16h_A","tissue: Bone marrow | cell line: AML1 | cell type: Bone marrow derived cell line | genotype: EVI1High | treatment: DMSO | time point: 16h | replicate: A | concentration: 1 microM",29848907,"DMSO","AML1","EVI1High",TRUE,"control","control"
"GSM6793068",3.43845084376481,"GSE220170","NCBI-counts",6,6,"N27_AML1_ENTI_2_4h_C","tissue: Bone marrow | cell line: AML1 | cell type: Bone marrow derived cell line | genotype: EVI1High | treatment: ENTI-2 | time point: 4h | replicate: C | concentration: 2microM",20520901,"ENTI-2","AML1","EVI1High",FALSE,"ENTI-2","high"
"GSM6793069",3.43596005440202,"GSE220170","NCBI-counts",6,6,"N26_AML1_ENTI_2_4h_B","tissue: Bone marrow | cell line: AML1 | cell type: Bone marrow derived cell line | genotype: EVI1High | treatment: ENTI-2 | time point: 4h | replicate: B | concentration: 2microM",23523790,"ENTI-2","AML1","EVI1High",FALSE,"ENTI-2","high"
"GSM6793070",3.46327549698232,"GSE220170","NCBI-counts",6,6,"N25_AML1_ENTI_2_4h_A","tissue: Bone marrow | cell line: AML1 | cell type: Bone marrow derived cell line | genotype: EVI1High | treatment: ENTI-2 | time point: 4h | replicate: A | concentration: 2microM",22702230,"ENTI-2","AML1","EVI1High",FALSE,"ENTI-2","high"
"GSM6793071",3.09754810110196,"GSE220170","NCBI-counts",6,6,"N24_AML1_AR42_05_4h_C","tissue: Bone marrow | cell line: AML1 | cell type: Bone marrow derived cell line | genotype: EVI1High | treatment: AR42-05 | time point: 4h | replicate: C | concentration: 0.5microM",23977327,"AR42-05","AML1","EVI1High",FALSE,"AR42-05","high"
"GSM6793074",3.39261422843546,"GSE220170","NCBI-counts",6,6,"N21_AML1_DMSO_4h_C","tissue: Bone marrow | cell line: AML1 | cell type: Bone marrow derived cell line | genotype: EVI1High | treatment: DMSO | time point: 4h | replicate: C | concentration: 1 microM",25279398,"DMSO","AML1","EVI1High",TRUE,"control","control"
"GSM6793077",2.95441994635956,"GSE220170","NCBI-counts",6,6,"N18_MOLM1_ENTI_4_16h_C","tissue: Bone marrow | cell line: MOLM1 | cell type: Bone marrow derived cell line | genotype: EVI1High | treatment: ENTI-4 | time point: 16h | replicate: C | concentration: 4microM",24570698,"ENTI-4","MOLM1","EVI1High",FALSE,"ENTI-4","high"
"GSM6793080",2.26505500851271,"GSE220170","NCBI-counts",6,6,"N15_MOLM1_AR42_08_16h_C","tissue: Bone marrow | cell line: MOLM1 | cell type: Bone marrow derived cell line | genotype: EVI1High | treatment: AR42-08 | time point: 16h | replicate: C | concentration: 0.8microM",22749739,"AR42-08","MOLM1","EVI1High",FALSE,"AR42-08","high"
"GSM6793081",2.11840452431514,"GSE220170","NCBI-counts",6,6,"N14_MOLM1_AR42_08_16h_B","tissue: Bone marrow | cell line: MOLM1 | cell type: Bone marrow derived cell line | genotype: EVI1High | treatment: AR42-08 | time point: 16h | replicate: B | concentration: 0.8microM",23984327,"AR42-08","MOLM1","EVI1High",FALSE,"AR42-08","high"
"GSM6793082",2.22183067781048,"GSE220170","NCBI-counts",6,6,"N13_MOLM1_AR42_08_16h_A","tissue: Bone marrow | cell line: MOLM1 | cell type: Bone marrow derived cell line | genotype: EVI1High | treatment: AR42-08 | time point: 16h | replicate: A | concentration: 0.8microM",25225395,"AR42-08","MOLM1","EVI1High",FALSE,"AR42-08","high"
"GSM6793084",1.88609146103238,"GSE220170","NCBI-counts",6,6,"N11_MOLM1_DMSO_16h_B","tissue: Bone marrow | cell line: MOLM1 | cell type: Bone marrow derived cell line | genotype: EVI1High | treatment: DMSO | time point: 16h | replicate: B | concentration: 1 microM",24668393,"DMSO","MOLM1","EVI1High",TRUE,"control","control"
"GSM6793085",1.89886176661596,"GSE220170","NCBI-counts",6,6,"N10_MOLM1_DMSO_16h_A","tissue: Bone marrow | cell line: MOLM1 | cell type: Bone marrow derived cell line | genotype: EVI1High | treatment: DMSO | time point: 16h | replicate: A | concentration: 1 microM",26445722,"DMSO","MOLM1","EVI1High",TRUE,"control","control"
"GSM6793086",2.08891906395021,"GSE220170","NCBI-counts",6,6,"N09_MOLM1_ENTI_4_4h_C","tissue: Bone marrow | cell line: MOLM1 | cell type: Bone marrow derived cell line | genotype: EVI1High | treatment: ENTI-4 | time point: 4h | replicate: C | concentration: 4microM",23821034,"ENTI-4","MOLM1","EVI1High",FALSE,"ENTI-4","high"
