"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM7060670",1.20606273927749,"GSE225938","NCBI-counts",6,6,"T5-DMSO_rep1","cell line: HPB-ALL | cell type: T-ALL | overexpress: TAL1 overexpression",35763868,NA,"HPB-ALL",NA,FALSE,NA,"none"
"GSM7060671",1.22159520481947,"GSE225938","NCBI-counts",6,6,"T5-DOX_rep1","cell line: HPB-ALL | cell type: T-ALL | overexpress: TAL1 overexpression",35291517,NA,"HPB-ALL",NA,FALSE,NA,"none"
"GSM7060672",1.32065227801127,"GSE225938","NCBI-counts",6,6,"L4-DMSO_rep1","cell line: HPB-ALL | cell type: T-ALL | overexpress: LMO1 overexpression",35200767,NA,"HPB-ALL",NA,FALSE,NA,"none"
"GSM7060673",1.36134618875027,"GSE225938","NCBI-counts",6,6,"L4-DOX_rep1","cell line: HPB-ALL | cell type: T-ALL | overexpress: LMO1 overexpression",34940589,NA,"HPB-ALL",NA,FALSE,NA,"none"
"GSM7060674",1.41294403194577,"GSE225938","NCBI-counts",6,6,"C25-DMSO_rep1","cell line: HPB-ALL | cell type: T-ALL | overexpress: TAL1/LMO1 overexpression",34745129,NA,"HPB-ALL",NA,FALSE,NA,"none"
"GSM7060675",1.37346584409056,"GSE225938","NCBI-counts",6,6,"C25-DOX_rep1","cell line: HPB-ALL | cell type: T-ALL | overexpress: TAL1/LMO1 overexpression",32896887,NA,"HPB-ALL",NA,FALSE,NA,"none"
"GSM7060676",1.22701752683616,"GSE225938","NCBI-counts",6,6,"T5-DMSO_rep2","cell line: HPB-ALL | cell type: T-ALL | overexpress: TAL1 overexpression",35545774,NA,"HPB-ALL",NA,FALSE,NA,"none"
"GSM7060677",1.25190047641692,"GSE225938","NCBI-counts",6,6,"T5-DOX_rep2","cell line: HPB-ALL | cell type: T-ALL | overexpress: TAL1 overexpression",35413989,NA,"HPB-ALL",NA,FALSE,NA,"none"
"GSM7060678",1.3649903475621,"GSE225938","NCBI-counts",6,6,"L4-DMSO_rep2","cell line: HPB-ALL | cell type: T-ALL | overexpress: LMO1 overexpression",35622628,NA,"HPB-ALL",NA,FALSE,NA,"none"
"GSM7060679",1.35055595922241,"GSE225938","NCBI-counts",6,6,"L4-DOX_rep2","cell line: HPB-ALL | cell type: T-ALL | overexpress: LMO1 overexpression",35065657,NA,"HPB-ALL",NA,FALSE,NA,"none"
"GSM7060680",1.44718027647395,"GSE225938","NCBI-counts",6,6,"C25-DMSO_rep2","cell line: HPB-ALL | cell type: T-ALL | overexpress: TAL1/LMO1 overexpression",34555451,NA,"HPB-ALL",NA,FALSE,NA,"none"
"GSM7060681",1.45279224702279,"GSE225938","NCBI-counts",6,6,"C25-DOX_rep2","cell line: HPB-ALL | cell type: T-ALL | overexpress: TAL1/LMO1 overexpression",33536562,NA,"HPB-ALL",NA,FALSE,NA,"none"
