"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM7474965",1.52862157435539,"GSE234800","NCBI-counts",6,6,"shGSK3a, 0h","cell line: Jurkat | cell type: T-ALL cells | genotype: shGSK3a | timepoint: 0h | treatment: none",28862069,"none","Jurkat","shGSK3a",TRUE,"control","control"
"GSM7474967",1.60269827448365,"GSE234800","NCBI-counts",6,6,"shGSK3a, 16h, vehicle","cell line: Jurkat | cell type: T-ALL cells | genotype: shGSK3a | timepoint: 16h | treatment: veh",34101940,"veh","Jurkat","shGSK3a",FALSE,"veh","high"
"GSM7474968",1.63933662961146,"GSE234800","NCBI-counts",6,6,"shGSK3a, 32h, asparaginase","cell line: Jurkat | cell type: T-ALL cells | genotype: shGSK3a | timepoint: 32h | treatment: aps",30398142,"aps","Jurkat","shGSK3a",FALSE,"aps","high"
"GSM7474969",1.62697343844901,"GSE234800","NCBI-counts",6,6,"shGSK3a, 32h, vehicle","cell line: Jurkat | cell type: T-ALL cells | genotype: shGSK3a | timepoint: 32h | treatment: veh",28653518,"veh","Jurkat","shGSK3a",FALSE,"veh","high"
"GSM7474970",1.75410335634388,"GSE234800","NCBI-counts",6,6,"shGSK3a, 56h, asparaginase","cell line: Jurkat | cell type: T-ALL cells | genotype: shGSK3a | timepoint: 56h | treatment: aps",22377556,"aps","Jurkat","shGSK3a",FALSE,"aps","high"
"GSM7474971",1.82479500819012,"GSE234800","NCBI-counts",6,6,"shGSK3a, 56h, vehicle","cell line: Jurkat | cell type: T-ALL cells | genotype: shGSK3a | timepoint: 56h | treatment: veh",22921642,"veh","Jurkat","shGSK3a",FALSE,"veh","high"
"GSM7474972",1.59430118390538,"GSE234800","NCBI-counts",6,6,"shGSK3a, 8h, asparaginase","cell line: Jurkat | cell type: T-ALL cells | genotype: shGSK3a | timepoint: 8h | treatment: aps",27506698,"aps","Jurkat","shGSK3a",FALSE,"aps","high"
"GSM7474973",1.56631168876006,"GSE234800","NCBI-counts",6,6,"shGSK3a, 8h, vehicle","cell line: Jurkat | cell type: T-ALL cells | genotype: shGSK3a | timepoint: 8h | treatment: veh",27728814,"veh","Jurkat","shGSK3a",FALSE,"veh","high"
"GSM7474974",1.46407738494902,"GSE234800","NCBI-counts",6,6,"shLuc, 0h","cell line: Jurkat | cell type: T-ALL cells | genotype: shLuc | timepoint: 0h | treatment: none",36455223,"none","Jurkat","shLuc",TRUE,"control","control"
"GSM7474975",1.47648132927706,"GSE234800","NCBI-counts",6,6,"shLuc, 16h, asparaginase","cell line: Jurkat | cell type: T-ALL cells | genotype: shLuc | timepoint: 16h | treatment: aps",33543860,"aps","Jurkat","shLuc",FALSE,"aps","high"
"GSM7474976",1.48295130007754,"GSE234800","NCBI-counts",6,6,"shLuc, 16h, vehicle","cell line: Jurkat | cell type: T-ALL cells | genotype: shLuc | timepoint: 16h | treatment: veh",32228356,"veh","Jurkat","shLuc",FALSE,"veh","high"
"GSM7474977",1.47522185890067,"GSE234800","NCBI-counts",6,6,"shLuc, 32h, asparaginase","cell line: Jurkat | cell type: T-ALL cells | genotype: shLuc | timepoint: 32h | treatment: aps",30437471,"aps","Jurkat","shLuc",FALSE,"aps","high"
"GSM7474978",1.49872373311145,"GSE234800","NCBI-counts",6,6,"shLuc, 32h, vehicle","cell line: Jurkat | cell type: T-ALL cells | genotype: shLuc | timepoint: 32h | treatment: veh",37451525,"veh","Jurkat","shLuc",FALSE,"veh","high"
"GSM7474979",1.5073344351588,"GSE234800","NCBI-counts",6,6,"shLuc, 56h, asparaginase","cell line: Jurkat | cell type: T-ALL cells | genotype: shLuc | timepoint: 56h | treatment: aps",31064807,"aps","Jurkat","shLuc",FALSE,"aps","high"
"GSM7474980",1.57004340982875,"GSE234800","NCBI-counts",6,6,"shLuc, 56h, vehicle","cell line: Jurkat | cell type: T-ALL cells | genotype: shLuc | timepoint: 56h | treatment: veh",17611409,"veh","Jurkat","shLuc",FALSE,"veh","high"
"GSM7474981",1.39786553939593,"GSE234800","NCBI-counts",6,6,"shLuc, 8h, asparaginase","cell line: Jurkat | cell type: T-ALL cells | genotype: shLuc | timepoint: 8h | treatment: aps",22126822,"aps","Jurkat","shLuc",FALSE,"aps","high"
"GSM7474982",1.46601824135786,"GSE234800","NCBI-counts",6,6,"shLuc, 8h, vehicle","cell line: Jurkat | cell type: T-ALL cells | genotype: shLuc | timepoint: 8h | treatment: veh",22889052,"veh","Jurkat","shLuc",FALSE,"veh","high"
