"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM7675665",0.363898698722406,"GSE239859","NCBI-counts",6,6,"differentiated HL-60, untreated control, 4 hour, rep-1","cell line: HL-60 | cell type: human promyelocytic leukemia cell | genotype: WT, differentiated | treatment: untreated | time: 4 hours",15290036,"untreated","HL-60","WT, differentiated",TRUE,"control","control"
"GSM7675666",0.474731315273965,"GSE239859","NCBI-counts",6,6,"differentiated HL-60, untreated control, 4 hour, rep-2","cell line: HL-60 | cell type: human promyelocytic leukemia cell | genotype: WT, differentiated | treatment: untreated | time: 4 hours",16150587,"untreated","HL-60","WT, differentiated",TRUE,"control","control"
"GSM7675667",0.376875215520263,"GSE239859","NCBI-counts",6,6,"differentiated HL-60, 1 µg/ml LTA, 4 hour, rep-1","cell line: HL-60 | cell type: human promyelocytic leukemia cell | genotype: WT, differentiated | treatment: 1 μg/ml Staphylococcus aureus lipoteichoic acids | time: 4 hours",14950629,"1 μg/ml Staphylococcus aureus lipoteichoic acids","HL-60","WT, differentiated",FALSE,"1 μg/ml Staphylococcus aureus lipoteichoic acids","low"
"GSM7675668",0.393993631427794,"GSE239859","NCBI-counts",6,6,"differentiated HL-60, 1 µg/ml LTA, 4 hour, rep-2","cell line: HL-60 | cell type: human promyelocytic leukemia cell | genotype: WT, differentiated | treatment: 1 μg/ml Staphylococcus aureus lipoteichoic acids | time: 4 hours",19827072,"1 μg/ml Staphylococcus aureus lipoteichoic acids","HL-60","WT, differentiated",FALSE,"1 μg/ml Staphylococcus aureus lipoteichoic acids","low"
"GSM7675669",0.388791517425036,"GSE239859","NCBI-counts",6,6,"differentiated HL-60, 10 µg/ml LTA, 4 hour, rep-1","cell line: HL-60 | cell type: human promyelocytic leukemia cell | genotype: WT, differentiated | treatment: 10 μg/ml Staphylococcus aureus lipoteichoic acids | time: 4 hours",17404532,"10 μg/ml Staphylococcus aureus lipoteichoic acids","HL-60","WT, differentiated",FALSE,"10 μg/ml Staphylococcus aureus lipoteichoic acids","low"
"GSM7675670",0.388705673386631,"GSE239859","NCBI-counts",6,6,"differentiated HL-60, 10 µg/ml LTA, 4 hour, rep-2","cell line: HL-60 | cell type: human promyelocytic leukemia cell | genotype: WT, differentiated | treatment: 10 μg/ml Staphylococcus aureus lipoteichoic acids | time: 4 hours",18600751,"10 μg/ml Staphylococcus aureus lipoteichoic acids","HL-60","WT, differentiated",FALSE,"10 μg/ml Staphylococcus aureus lipoteichoic acids","low"
"GSM7675671",0.447094489884105,"GSE239859","NCBI-counts",6,6,"differentiated HL-60, untreated control, 24 hour, rep-1","cell line: HL-60 | cell type: human promyelocytic leukemia cell | genotype: WT, differentiated | treatment: untreated | time: 24 hours",27058301,"untreated","HL-60","WT, differentiated",TRUE,"control","control"
"GSM7675672",0.442802812704372,"GSE239859","NCBI-counts",6,6,"differentiated HL-60, untreated control, 24 hour, rep-2","cell line: HL-60 | cell type: human promyelocytic leukemia cell | genotype: WT, differentiated | treatment: untreated | time: 24 hours",19251348,"untreated","HL-60","WT, differentiated",TRUE,"control","control"
"GSM7675673",0.557910609471012,"GSE239859","NCBI-counts",6,6,"differentiated HL-60, 1 µg/ml LTA, 24 hour, rep-1","cell line: HL-60 | cell type: human promyelocytic leukemia cell | genotype: WT, differentiated | treatment: 1 μg/ml Staphylococcus aureus lipoteichoic acids | time: 24 hours",18143485,"1 μg/ml Staphylococcus aureus lipoteichoic acids","HL-60","WT, differentiated",FALSE,"1 μg/ml Staphylococcus aureus lipoteichoic acids","low"
"GSM7675674",0.556954592439566,"GSE239859","NCBI-counts",6,6,"differentiated HL-60, 1 µg/ml LTA, 24 hour, rep-2","cell line: HL-60 | cell type: human promyelocytic leukemia cell | genotype: WT, differentiated | treatment: 1 μg/ml Staphylococcus aureus lipoteichoic acids | time: 24 hours",20625736,"1 μg/ml Staphylococcus aureus lipoteichoic acids","HL-60","WT, differentiated",FALSE,"1 μg/ml Staphylococcus aureus lipoteichoic acids","low"
"GSM7675675",0.478223677489457,"GSE239859","NCBI-counts",6,6,"differentiated HL-60, 10 µg/ml LTA, 24 hour, rep-1","cell line: HL-60 | cell type: human promyelocytic leukemia cell | genotype: WT, differentiated | treatment: 10 μg/ml Staphylococcus aureus lipoteichoic acids | time: 24 hours",17345410,"10 μg/ml Staphylococcus aureus lipoteichoic acids","HL-60","WT, differentiated",FALSE,"10 μg/ml Staphylococcus aureus lipoteichoic acids","low"
"GSM7675676",0.523121156225027,"GSE239859","NCBI-counts",6,6,"differentiated HL-60, 10 µg/ml LTA, 24 hour, rep-2","cell line: HL-60 | cell type: human promyelocytic leukemia cell | genotype: WT, differentiated | treatment: 10 μg/ml Staphylococcus aureus lipoteichoic acids | time: 24 hours",21128656,"10 μg/ml Staphylococcus aureus lipoteichoic acids","HL-60","WT, differentiated",FALSE,"10 μg/ml Staphylococcus aureus lipoteichoic acids","low"
"GSM7675677",0.680518150954837,"GSE239859","NCBI-counts",6,6,"undifferentiated HL-60, untreated control, 4 hour","cell line: HL-60 | cell type: human promyelocytic leukemia cell | genotype: WT, undifferentiated | treatment: untreated | time: 4 hours",23840453,"untreated","HL-60","WT, undifferentiated",TRUE,"control","control"
"GSM7675678",0.707632787377186,"GSE239859","NCBI-counts",6,6,"undifferentiated HL-60, 1 µg/ml LTA, 4 hour","cell line: HL-60 | cell type: human promyelocytic leukemia cell | genotype: WT, undifferentiated | treatment: 1 μg/ml Staphylococcus aureus lipoteichoic acids | time: 4 hours",19882681,"1 μg/ml Staphylococcus aureus lipoteichoic acids","HL-60","WT, undifferentiated",FALSE,"1 μg/ml Staphylococcus aureus lipoteichoic acids","low"
