"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM7697996",1.03759858649192,"GSE240439","NCBI-counts",6,6,"HL60_DMSO_1","tissue: hematopoetic | cell line: HL-60 | cell type: non-adherent | treatment: DMSO",13175372,"DMSO","HL-60",NA,TRUE,"control","control"
"GSM7697997",1.14748320012093,"GSE240439","NCBI-counts",6,6,"HL60_DMSO_2","tissue: hematopoetic | cell line: HL-60 | cell type: non-adherent | treatment: DMSO",13869480,"DMSO","HL-60",NA,TRUE,"control","control"
"GSM7697998",1.13010619137243,"GSE240439","NCBI-counts",6,6,"HL60_DMSO_3","tissue: hematopoetic | cell line: HL-60 | cell type: non-adherent | treatment: DMSO",12346413,"DMSO","HL-60",NA,TRUE,"control","control"
"GSM7697999",1.2423369006369,"GSE240439","NCBI-counts",6,6,"HL60_DAC_1","tissue: hematopoetic | cell line: HL-60 | cell type: non-adherent | treatment: Decitabine",14005471,"Decitabine","HL-60",NA,FALSE,"Decitabine","high"
"GSM7698000",1.14976688950887,"GSE240439","NCBI-counts",6,6,"HL60_DAC_2","tissue: hematopoetic | cell line: HL-60 | cell type: non-adherent | treatment: Decitabine",13744822,"Decitabine","HL-60",NA,FALSE,"Decitabine","high"
"GSM7698001",1.14499481694929,"GSE240439","NCBI-counts",6,6,"HL60_DAC_3","tissue: hematopoetic | cell line: HL-60 | cell type: non-adherent | treatment: Decitabine",13754081,"Decitabine","HL-60",NA,FALSE,"Decitabine","high"
"GSM7698002",1.05058583174301,"GSE240439","NCBI-counts",6,6,"HL60_SIMVA_1","tissue: hematopoetic | cell line: HL-60 | cell type: non-adherent | treatment: Simvastatin",12166507,"Simvastatin","HL-60",NA,FALSE,"Simvastatin","high"
"GSM7698003",1.11553225577826,"GSE240439","NCBI-counts",6,6,"HL60_SIMVA_2","tissue: hematopoetic | cell line: HL-60 | cell type: non-adherent | treatment: Simvastatin",13168351,"Simvastatin","HL-60",NA,FALSE,"Simvastatin","high"
"GSM7698004",1.02754742749027,"GSE240439","NCBI-counts",6,6,"HL60_SIMVA_3","tissue: hematopoetic | cell line: HL-60 | cell type: non-adherent | treatment: Simvastatin",12864367,"Simvastatin","HL-60",NA,FALSE,"Simvastatin","high"
"GSM7698005",1.15030118542905,"GSE240439","NCBI-counts",6,6,"HL60_COMBO_1","tissue: hematopoetic | cell line: HL-60 | cell type: non-adherent | treatment: Decitabine+Simvastatin",16101057,"Decitabine+Simvastatin","HL-60",NA,FALSE,"Decitabine+Simvastatin","high"
"GSM7698006",1.17197569169521,"GSE240439","NCBI-counts",6,6,"HL60_COMBO_2","tissue: hematopoetic | cell line: HL-60 | cell type: non-adherent | treatment: Decitabine+Simvastatin",14975011,"Decitabine+Simvastatin","HL-60",NA,FALSE,"Decitabine+Simvastatin","high"
"GSM7698007",1.15606308946116,"GSE240439","NCBI-counts",6,6,"HL60_COMBO_3","tissue: hematopoetic | cell line: HL-60 | cell type: non-adherent | treatment: Decitabine+Simvastatin",15613777,"Decitabine+Simvastatin","HL-60",NA,FALSE,"Decitabine+Simvastatin","high"
