"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM7840225",1.55475362212312,"GSE245284","NCBI-counts",6,6,"RS4;11 VEN sens 1","cell line: RS4;11 | cell type: acute lymphoblastic leukemia | treatment: DMSO treated",38507554,"DMSO treated","RS4;11",NA,TRUE,"control","control"
"GSM7840226",1.56810736158667,"GSE245284","NCBI-counts",6,6,"RS4;11 VEN sens 2","cell line: RS4;11 | cell type: acute lymphoblastic leukemia | treatment: DMSO treated",32891495,"DMSO treated","RS4;11",NA,TRUE,"control","control"
"GSM7840227",1.66585953285612,"GSE245284","NCBI-counts",6,6,"RS4;11 VEN sens 3","cell line: RS4;11 | cell type: acute lymphoblastic leukemia | treatment: DMSO treated",45261083,"DMSO treated","RS4;11",NA,TRUE,"control","control"
"GSM7840228",1.62277610431664,"GSE245284","NCBI-counts",6,6,"RS4;11 VEN sens 4","cell line: RS4;11 | cell type: acute lymphoblastic leukemia | treatment: DMSO treated",37259767,"DMSO treated","RS4;11",NA,TRUE,"control","control"
"GSM7840229",1.6221157292861,"GSE245284","NCBI-counts",6,6,"RS4;11 VEN sens 5","cell line: RS4;11 | cell type: acute lymphoblastic leukemia | treatment: DMSO treated",40128254,"DMSO treated","RS4;11",NA,TRUE,"control","control"
"GSM7840230",1.41074935384193,"GSE245284","NCBI-counts",6,6,"RS4;11 VEN ins 1","cell line: RS4;11 | cell type: acute lymphoblastic leukemia | treatment: VEN treated",33656973,"VEN treated","RS4;11",NA,FALSE,"VEN","high"
"GSM7840231",1.37370160619478,"GSE245284","NCBI-counts",6,6,"RS4;11 VEN ins 2","cell line: RS4;11 | cell type: acute lymphoblastic leukemia | treatment: VEN treated",39392690,"VEN treated","RS4;11",NA,FALSE,"VEN","high"
"GSM7840232",1.63731752654965,"GSE245284","NCBI-counts",6,6,"RS4;11 VEN ins 3","cell line: RS4;11 | cell type: acute lymphoblastic leukemia | treatment: VEN treated",39614321,"VEN treated","RS4;11",NA,FALSE,"VEN","high"
"GSM7840233",1.75003478752252,"GSE245284","NCBI-counts",6,6,"RS4;11 VEN ins 4","cell line: RS4;11 | cell type: acute lymphoblastic leukemia | treatment: VEN treated",40639612,"VEN treated","RS4;11",NA,FALSE,"VEN","high"
"GSM7840234",1.49566741206559,"GSE245284","NCBI-counts",6,6,"RS4;11 VEN ins 5","cell line: RS4;11 | cell type: acute lymphoblastic leukemia | treatment: VEN treated",37875443,"VEN treated","RS4;11",NA,FALSE,"VEN","high"
