"GSM","Score","GSE","Platform","GenesFound","GenesExpected","SampleTitle","Characteristics","LibSize","TreatmentRaw","CellLine","Genotype","IsControl","Agent","AgentConfidence"
"GSM8123808",2.01928269734509,"GSE260759","NCBI-counts",6,6,"MOLM14_DMSO_1","tissue: hematopoietic | cell line: MOLM14 | cell type: AML | treatment: DMSO-treated",65272574,"DMSO-treated","MOLM14",NA,TRUE,"control","control"
"GSM8123810",2.0319005875155,"GSE260759","NCBI-counts",6,6,"MOLM14_DMSO_3","tissue: hematopoietic | cell line: MOLM14 | cell type: AML | treatment: DMSO-treated",86970788,"DMSO-treated","MOLM14",NA,TRUE,"control","control"
"GSM8123812",1.98065659496802,"GSE260759","NCBI-counts",6,6,"MOLM14_AZ2_1","tissue: hematopoietic | cell line: MOLM14 | cell type: AML | treatment: AZ2-treated",57888477,"AZ2-treated","MOLM14",NA,FALSE,"AZ2-","high"
"GSM8123813",1.97579547071678,"GSE260759","NCBI-counts",6,6,"MOLM14_AZ2_2","tissue: hematopoietic | cell line: MOLM14 | cell type: AML | treatment: AZ2-treated",54201753,"AZ2-treated","MOLM14",NA,FALSE,"AZ2-","high"
"GSM8123814",2.00124652569954,"GSE260759","NCBI-counts",6,6,"MOLM14_AZ2_3","tissue: hematopoietic | cell line: MOLM14 | cell type: AML | treatment: AZ2-treated",54474779,"AZ2-treated","MOLM14",NA,FALSE,"AZ2-","high"
"GSM8123815",2.02495877996459,"GSE260759","NCBI-counts",6,6,"MOLM14_AZ2_4","tissue: hematopoietic | cell line: MOLM14 | cell type: AML | treatment: AZ2-treated",56784314,"AZ2-treated","MOLM14",NA,FALSE,"AZ2-","high"
"GSM8123816",2.14435518232876,"GSE260759","NCBI-counts",6,6,"MOLM14_ARM_1","tissue: hematopoietic | cell line: MOLM14 | cell type: AML | treatment: ARM165-treated",65917387,"ARM165-treated","MOLM14",NA,FALSE,"ARM165-","high"
"GSM8123818",2.14116963888517,"GSE260759","NCBI-counts",6,6,"MOLM14_ARM_3","tissue: hematopoietic | cell line: MOLM14 | cell type: AML | treatment: ARM165-treated",80787371,"ARM165-treated","MOLM14",NA,FALSE,"ARM165-","high"
"GSM8123819",2.11676691494989,"GSE260759","NCBI-counts",6,6,"MOLM14_ARM_4","tissue: hematopoietic | cell line: MOLM14 | cell type: AML | treatment: ARM165-treated",61916408,"ARM165-treated","MOLM14",NA,FALSE,"ARM165-","high"
"GSM8123822",1.66988629968405,"GSE260759","NCBI-counts",6,6,"OCIAML2_DMSO_3","tissue: hematopoietic | cell line: OCI-AML2 | cell type: AML | treatment: DMSO-treated",67032600,"DMSO-treated","OCI-AML2",NA,TRUE,"control","control"
"GSM8123823",1.62876648684521,"GSE260759","NCBI-counts",6,6,"OCIAML2_DMSO_4","tissue: hematopoietic | cell line: OCI-AML2 | cell type: AML | treatment: DMSO-treated",53448830,"DMSO-treated","OCI-AML2",NA,TRUE,"control","control"
"GSM8123830",1.65883007757554,"GSE260759","NCBI-counts",6,6,"OCIAML2_ARM_3","tissue: hematopoietic | cell line: OCI-AML2 | cell type: AML | treatment: ARM165-treated",61726218,"ARM165-treated","OCI-AML2",NA,FALSE,"ARM165-","high"
"GSM8123831",1.6498621285963,"GSE260759","NCBI-counts",6,6,"OCIAML2_ARM_4","tissue: hematopoietic | cell line: OCI-AML2 | cell type: AML | treatment: ARM165-treated",61040554,"ARM165-treated","OCI-AML2",NA,FALSE,"ARM165-","high"
